velX_min,velX_max,velX_mean,velX_median,velX_first,velX_last,velY_min,velY_max,velY_mean,velY_median,velY_first,velY_last,vel_min,vel_max,vel_mean,vel_median,vel_first,vel_last,velRX_min,velRX_max,velRX_mean,velRX_median,velRX_first,velRX_last,velRY_min,velRY_max,velRY_mean,velRY_median,velRY_first,velRY_last,velR_min,velR_max,velR_mean,velR_median,velR_first,velR_last,accelerationX_min,accelerationX_max,accelerationX_mean,accelerationX_median,accelerationX_first,accelerationX_last,1/5_accelerationX_mean,1/5_accelerationX_median,2/5_accelerationX_mean,2/5_accelerationX_median,4/5_accelerationX_mean,4/5_accelerationX_median,accelerationY_min,accelerationY_max,accelerationY_mean,accelerationY_median,accelerationY_first,accelerationY_last,1/5_accelerationY_mean,1/5_accelerationY_median,2/5_accelerationY_mean,2/5_accelerationY_median,4/5_accelerationY_mean,4/5_accelerationY_median,acceleration_min,acceleration_max,acceleration_mean,acceleration_median,acceleration_first,acceleration_last,1/5_acceleration_mean,1/5_acceleration_median,2/5_acceleration_mean,2/5_acceleration_median,4/5_acceleration_mean,4/5_acceleration_median,accelerationRX_min,accelerationRX_max,accelerationRX_mean,accelerationRX_median,accelerationRX_first,accelerationRX_last,1/5_accelerationRX_mean,1/5_accelerationRX_median,2/5_accelerationRX_mean,2/5_accelerationRX_median,4/5_accelerationRX_mean,4/5_accelerationRX_median,accelerationRY_min,accelerationRY_max,accelerationRY_mean,accelerationRY_median,accelerationRY_first,accelerationRY_last,1/5_accelerationRY_mean,1/5_accelerationRY_median,2/5_accelerationRY_mean,2/5_accelerationRY_median,4/5_accelerationRY_mean,4/5_accelerationRY_median,accelerationR_min,accelerationR_max,accelerationR_mean,accelerationR_median,accelerationR_first,accelerationR_last,1/5_accelerationR_mean,1/5_accelerationR_median,2/5_accelerationR_mean,2/5_accelerationR_median,4/5_accelerationR_mean,4/5_accelerationR_median,pressure_min,pressure_max,pressure_mean,pressure_median,pressure_first,pressure_last,dragTime,widthX,widthY,widthRX,widthRY,Mode
-0.627441403,0.625000002,0.02121726,0,0.293573503,0.216212918,-0.499998727,0.727275506,0.043433753,0,-0.146792351,-0.108110583,0,0.761909412,0.205546671,0.156966624,0.328227658,0.241735235,-0.627441403,0.625000002,0.02121726,0,0.293573503,0.216212918,-0.499998727,0.727275506,0.043433753,0,-0.146792351,-0.108110583,0,0.761909412,0.205546671,0.156966624,0.328227658,0.241735235,-0.085616438,0.058987527,-2.47E-05,0.000892371,0.026933349,0.014608981,0.000364382,0.005365177,-0.001118824,0.001910302,0.000123106,0.000892371,-0.090307622,0.082644944,-0.00113524,-0.003743914,-0.013467188,-0.007304769,-0.000336705,-0.003652385,0.001426866,-0.004105177,-0.000885296,-0.006131618,-0.092211532,0.085188363,-0.001969513,0.004050128,0.030112629,0.016333462,-0.001759703,0.007343317,-0.003745545,0.004760448,-0.001507366,0.004050128,-0.085616438,0.058987527,-2.47E-05,0.000892371,0.026933349,0.014608981,0.000364382,0.005365177,-0.001118824,0.001910302,0.000123106,0.000892371,-0.090307622,0.082644944,-0.00113524,-0.003743914,-0.013467188,-0.007304769,-0.000336705,-0.003652385,0.001426866,-0.004105177,-0.000885296,-0.006131618,-0.092211532,0.085188363,-0.001969513,0.004050128,0.030112629,0.016333462,-0.001759703,0.007343317,-0.003745545,0.004760448,-0.001507366,0.004050128,0.977539063,0.98046875,0.979052734,0.979492188,0.979492188,0.977539063,817.4,24,52,24,52,pen
-0.792079206,0.602147916,-0.039806643,0,0.148157191,0,0,2.588237676,0.654019667,0.080940461,0,0,0,2.663207089,0.726613586,0.180985722,0.148157191,0,-0.792079206,0.602147916,-0.039806643,0,0.148157191,0,0,2.588237676,0.654019456,0.080938979,0,0,0,2.663207089,0.726613491,0.18098506,0.148157191,0,-0.078423684,0.078423684,0.001062318,0.001037032,0.013718258,0.078423684,0.020789159,0.062367476,0.005077613,0.014806619,-8.36E-05,-0.013466674,-0.195198127,0.253748791,-0.006497781,0.000344082,0,-0.133320621,-0.047518239,-0.133320621,-0.034970706,-0.129570403,-0.009018003,-0.008019928,-0.195821746,0.261098733,-0.006560277,0.002008343,0.013718258,-0.154675991,-0.051866869,-0.154675991,-0.035749366,-0.139424283,-0.009961711,-0.017933104,-0.078423684,0.078423684,0.001062318,0.001037032,0.013718258,0.078423684,0.020789159,0.062367476,0.005077613,0.014806619,-8.36E-05,-0.013466674,-0.195198127,0.253748791,-0.006497779,0.000344238,0,-0.133320621,-0.047518239,-0.133320621,-0.034970706,-0.129570403,-0.009018003,-0.008019928,-0.195821746,0.261098733,-0.006560276,0.002008349,0.013718258,-0.154675991,-0.051866869,-0.154675991,-0.035749366,-0.139424283,-0.009961711,-0.017933104,0.978515625,0.98046875,0.980119978,0.98046875,0.979492188,0.978515625,144.1999999,24,104.0000305,24,104,pen
-5.842696645,0,-1.84542437,-0.969694506,-0.491231284,-2.522522517,0,0.6292176,0.172629622,0.080806848,0,0.36036036,0,5.876480143,1.854330325,0.97305559,0.491231284,2.548132539,-5.842696645,0,-1.84542437,-0.969694506,-0.491231284,-2.522522517,0,0.6292176,0.172629622,0.080806848,0,0.36036036,0,5.876480143,1.854330325,0.97305559,0.491231284,2.548132539,-0.547528332,0.561797749,-0.037992137,-0.043090464,-0.043090464,0.171442055,-0.149679469,-0.149679469,-0.066070594,-0.019508663,-0.049708843,-0.09794894,-0.060501692,0.061619186,0.00501838,0.001795813,0,0.001795813,0.019005717,0.019005717,0.008971404,0.00727536,0.006452203,0.008162308,-0.565046162,0.55094658,0.038321604,0.043090464,0.043090464,-0.170312691,0.150939581,0.150939581,0.066684561,0.020266421,0.050132443,0.098288444,-0.547528332,0.561797749,-0.037992137,-0.043090464,-0.043090464,0.171442055,-0.149679469,-0.149679469,-0.066070594,-0.019508663,-0.049708843,-0.09794894,-0.060501692,0.061619186,0.00501838,0.001795813,0,0.001795813,0.019005717,0.019005717,0.008971404,0.00727536,0.006452203,0.008162308,-0.565046162,0.55094658,0.038321604,0.043090464,0.043090464,-0.170312691,0.150939581,0.150939581,0.066684561,0.020266421,0.050132443,0.098288444,0.977539063,0.98046875,0.979383681,0.979492188,0.979492188,0.977539063,94.60000002,157.5999756,15.20001221,157.5999756,15.20001221,page
-6.479998779,0,-2.731117203,-0.521737801,-0.500003268,-6.479998779,-1.153846156,0,-0.515018093,-0.214287893,-0.214287893,-1.120001221,0,6.576076863,2.782016744,0.543987655,0.543987655,6.576076863,-6.479998779,0,-2.731117203,-0.521737801,-0.500003268,-6.479998779,-1.153846156,0,-0.515018093,-0.214287893,-0.214287893,-1.120001221,0,6.576076863,2.782016744,0.543987655,0.543987655,6.576076863,-0.647999878,0.597460796,-0.127818713,-0.044643149,-0.044643149,-0.647999878,-0.647999878,-0.647999878,-0.025269541,-0.025269541,-0.148612604,-0.271955666,-0.112000122,0.112023899,-0.021570846,-0.019132848,-0.019132848,-0.112000122,-0.112000122,-0.112000122,1.19E-05,1.19E-05,-0.022180345,-0.04437258,-0.607872319,0.657607686,0.129567557,0.048570326,0.048570326,0.657607686,0.657607686,0.657607686,0.024867684,0.024867684,0.149816864,0.274766045,-0.647999878,0.597460796,-0.127818713,-0.044643149,-0.044643149,-0.647999878,-0.647999878,-0.647999878,-0.025269541,-0.025269541,-0.148612604,-0.271955666,-0.112000122,0.112023899,-0.021570846,-0.019132848,-0.019132848,-0.112000122,-0.112000122,-0.112000122,1.19E-05,1.19E-05,-0.022180345,-0.04437258,-0.607872319,0.657607686,0.129567557,0.048570326,0.048570326,0.657607686,0.657607686,0.657607686,0.024867684,0.024867684,0.149816864,0.274766045,0.977539063,0.981445313,0.9796875,0.979492188,0.981445313,0.977539063,54.30000007,133.5999756,24,133.5999756,24,page
-5.075270156,0,-1.064088511,-0.116168328,-0.075476305,0,-1.462362974,0,-0.333479847,-0.076950361,-0.075470547,0,0,5.281749012,1.117900769,0.141055373,0.106735543,0,-5.075270156,0,-1.064088511,-0.116168328,-0.075476305,0,-1.462362974,0,-0.333479847,-0.076950361,-0.075470547,0,0,5.281749012,1.117900769,0.141055373,0.106735543,0,-0.545727977,0.488006747,-0.00856632,-0.007549617,-0.007120406,0.488006747,0.488006747,0.488006747,-0.028860615,-0.028860615,-0.008855502,-0.007978828,-0.157243331,0.140611825,-0.002372658,-0.003705011,-0.007119863,0.140611825,0.140611825,0.140611825,-0.008315753,-0.008315753,-0.001423217,-0.00029016,-0.507860483,0.567930004,0.008878879,0.008399385,0.010069391,-0.507860483,-0.507860483,-0.507860483,0.030034761,0.030034761,0.008640777,0.006729378,-0.545727977,0.488006747,-0.00856632,-0.007549617,-0.007120406,0.488006747,0.488006747,0.488006747,-0.028860615,-0.028860615,-0.008855502,-0.007978828,-0.157243331,0.140611825,-0.002372658,-0.003705011,-0.007119863,0.140611825,0.140611825,0.140611825,-0.008315753,-0.008315753,-0.001423217,-0.00029016,-0.507860483,0.567930004,0.008878879,0.008399385,0.010069391,-0.507860483,-0.507860483,-0.507860483,0.030034761,0.030034761,0.008640777,0.006729378,0.98046875,0.981445313,0.981119792,0.981445313,0.981445313,0.98046875,63.29999995,90.39996338,26.39996338,90.39996338,26.39996338,page
-1.363636371,0,-0.593677307,-0.41739555,-0.41739555,0,-0.545453161,0,-0.297759749,-0.347826087,-0.347826087,0,0,1.468680804,0.670668594,0.543324978,0.543324978,0,-1.363636371,0,-0.593677307,-0.41739555,-0.41739555,0,-0.545453161,0,-0.297759749,-0.347826087,-0.347826087,0,0,1.468680804,0.670668594,0.543324978,0.543324978,0,-0.107527367,0.129870131,-0.004650834,-0.036295265,-0.036295265,0.129870131,0.129870131,0.129870131,0.129870131,0.129870131,0.011171382,0.011171382,-0.030245747,0.05194792,-0.000251816,-0.022457622,-0.030245747,0.05194792,0.05194792,0.05194792,0.05194792,0.05194792,0.014745149,0.014745149,-0.139874362,0.105154072,0.00417512,0.04724565,0.04724565,-0.139874362,-0.139874362,-0.139874362,-0.139874362,-0.139874362,-0.017360145,-0.017360145,-0.107527367,0.129870131,-0.004650834,-0.036295265,-0.036295265,0.129870131,0.129870131,0.129870131,0.129870131,0.129870131,0.011171382,0.011171382,-0.030245747,0.05194792,-0.000251816,-0.022457622,-0.030245747,0.05194792,0.05194792,0.05194792,0.05194792,0.05194792,0.014745149,0.014745149,-0.139874362,0.105154072,0.00417512,0.04724565,0.04724565,-0.139874362,-0.139874362,-0.139874362,-0.139874362,-0.139874362,-0.017360145,-0.017360145,0.98046875,0.982421875,0.981119792,0.98046875,0.982421875,0.98046875,39.19999993,87.19995117,29.59997559,87.19995117,29.59997559,page
-5.849464946,0,-1.566931173,-0.198717851,-0.074765214,-4.645156064,-0.774194855,0,-0.22920439,-0.118587934,0,-0.430107529,0,5.900476068,1.590107292,0.231843452,0.074765214,4.665025975,-5.849464946,0,-1.566931173,-0.198717851,-0.074765214,-4.645156064,-0.774194855,0,-0.22920439,-0.118587934,0,-0.430107529,0,5.900476068,1.590107292,0.231843452,0.074765214,4.665025975,-0.628974721,0.567909221,-0.070664809,-0.010994008,-0.006987403,-0.499479149,0.034215036,0.034215036,-0.186848216,-0.499479149,-0.090555076,-0.065384764,-0.083246758,0.075164549,-0.00688238,-0.007396337,0,-0.046248122,0.014458214,0.014458214,-0.01811011,-0.046248122,-0.006711061,-0.011465984,-0.572861757,0.634459787,0.070989183,0.013233391,0.006987403,0.501615699,-0.035623029,-0.035623029,0.18773791,0.501615699,0.090241113,0.065385541,-0.628974721,0.567909221,-0.070664809,-0.010994008,-0.006987403,-0.499479149,0.034215036,0.034215036,-0.186848216,-0.499479149,-0.090555076,-0.065384764,-0.083246758,0.075164549,-0.00688238,-0.007396337,0,-0.046248122,0.014458214,0.014458214,-0.01811011,-0.046248122,-0.006711061,-0.011465984,-0.572861757,0.634459787,0.070989183,0.013233391,0.006987403,0.501615699,-0.035623029,-0.035623029,0.18773791,0.501615699,0.090241113,0.065385541,0.977539063,0.981445313,0.98046875,0.981445313,0.981445313,0.977539063,84.80000007,141.5999756,20,141.5999756,20,page
-0.091952619,0.549017218,0.142009936,0.148148713,-0.070177045,-0.091952619,-0.142852239,0.086020193,-0.004325568,0,0,0,0,0.549017218,0.14773179,0.148148713,0.070177045,0.091952619,-0.091952619,0.549017218,0.142009936,0.148148713,-0.070177045,-0.091952619,-0.142854964,0.086020193,-0.004325561,0,0,0,0,0.549017218,0.147731831,0.148148713,0.070177045,0.091952619,-0.056979911,0.042512488,-0.001126657,0,-0.006155881,-0.002573387,-0.001317515,0,-0.001575262,0.000740999,-0.001466194,0.001668747,-0.014625098,0.015698048,5.13E-05,0,0,0,-4.85E-07,0,3.32E-05,0,2.43E-05,0,-0.056979911,0.042512488,-0.001036672,0,0.006155881,0.002573387,-0.000735456,0.002573387,-0.001279973,0.002790211,-0.001320746,0.002573387,-0.056979911,0.042512488,-0.001126657,0,-0.006155881,-0.002573387,-0.001317515,0,-0.001575262,0.000740999,-0.001466194,0.001668747,-0.014625098,0.015698348,5.13E-05,0,0,0,-4.85E-07,0,3.32E-05,0,2.43E-05,0,-0.056979911,0.042512488,-0.001036672,0,0.006155881,0.002573387,-0.000735456,0.002573387,-0.001279972,0.002790211,-0.001320746,0.002573387,0.9765625,0.98046875,0.979863947,0.979492188,0.9765625,0.978515625,1770.1,265.6000061,8.799987793,265.6000061,8.799987793,pen
-0.244900452,0.63366579,0.127243395,0.029629178,-0.077668717,-0.244900452,-0.086955194,0.087910747,-0.004271021,0,0,0.081631408,0,0.638596928,0.141188757,0.082052188,0.077668717,0.258147086,-0.244900452,0.63366579,0.127243395,0.029629178,-0.077668717,-0.244900452,-0.086955194,0.087910747,-0.004271021,0,0,0.081631408,0,0.638596928,0.141188757,0.082052188,0.077668717,0.258147086,-0.066701662,0.064747088,-0.000545643,0,-0.007540652,-0.024989842,-0.001474037,-0.002591513,-0.001641993,0.002660144,-0.000652406,0,-0.009451652,0.009660522,6.38E-05,0,0,0.008329736,0.000377312,0,3.96E-05,0,5.63E-05,0,-0.067220729,0.065404421,-0.000188025,0,0.007540652,0.02634154,0.000401033,-0.002591513,-0.000718393,0.001169519,-0.00019247,-0.000932289,-0.066701662,0.064747088,-0.000545643,0,-0.007540652,-0.024989842,-0.001474037,-0.002591513,-0.001641993,0.002660144,-0.000652406,0,-0.009451652,0.009660522,6.38E-05,0,0,0.008329736,0.000377312,0,3.96E-05,0,5.63E-05,0,-0.067220729,0.065404421,-0.000188025,0,0.007540652,0.02634154,0.000401033,-0.002591513,-0.000718393,0.001169519,-0.00019247,-0.000932289,0.9765625,0.98046875,0.980135479,0.98046875,0.9765625,0.978515625,1272,168.8000488,10.40002441,168.8000488,10.40002441,pen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.058254826,0,-2.012664597,-0.47863039,-0.47863039,0,-0.081631408,1.553398065,0.336449166,0,0,0,0,6.254238329,2.0503288,0.47863039,0.47863039,0,-6.058254826,0,-2.012664597,-0.47863039,-0.47863039,0,-0.081631408,1.553398065,0.336449166,0,0,0,0,6.254238329,2.0503288,0.47863039,0.47863039,0,-0.588180083,0.637711034,0.0131341,-0.04090858,-0.04090858,0.637711034,0.024765476,0.024765476,0.141592569,0.258419662,0.015216962,-0.043225733,-0.163515586,0.150815347,-0.003723337,0,0,-0.163515586,-0.006350119,-0.006350119,-0.020520038,-0.034689956,-0.004787148,0.007925379,-0.658340877,0.607207608,-0.013588413,0.04090858,0.04090858,-0.658340877,-0.025566635,-0.025566635,-0.143282501,-0.260998367,-0.015801078,0.051149601,-0.588180083,0.637711034,0.0131341,-0.04090858,-0.04090858,0.637711034,0.024765476,0.024765476,0.141592569,0.258419662,0.015216962,-0.043225733,-0.163515586,0.150815347,-0.003723337,0,0,-0.163515586,-0.006350119,-0.006350119,-0.020520038,-0.034689956,-0.004787148,0.007925379,-0.658340877,0.607207608,-0.013588413,0.04090858,0.04090858,-0.658340877,-0.025566635,-0.025566635,-0.143282501,-0.260998367,-0.015801078,0.051149601,0.979492188,0.981445313,0.980685764,0.98046875,0.98046875,0.979492188,97.20000005,224,42.3999939,224,42.3999939,page
-9.073166213,0,-2.585822995,-0.424542063,-0.074078596,0,0,2.536591306,0.493538364,0.0792052,0,0,0,9.42107428,2.640553662,0.437394755,0.074078596,0,-9.073166213,0,-2.585822995,-0.424542063,-0.074078596,0,0,2.536591306,0.493538371,0.079206711,0,0,0,9.42107428,2.640553715,0.437395233,0.074078596,0,-1.106483678,0.916481449,-0.042950873,-0.023289651,-0.006859129,0.916481449,-0.095001115,-0.095001115,0.088764684,0.272530483,-0.047866178,-0.021037643,-0.256221348,0.309340401,0.008624888,0.007842099,0,-0.256221348,0.026559527,0.026559527,-0.00035582,-0.027271166,0.008820585,0.002697419,-0.951623678,1.148911491,0.043931372,0.024562195,0.006859129,-0.951623678,0.098643906,0.098643906,-0.087547806,-0.273739518,0.048773667,0.024020589,-1.106483678,0.916481449,-0.042950873,-0.023289651,-0.006859129,0.916481449,-0.095001115,-0.095001115,0.088764684,0.272530483,-0.047866178,-0.021037643,-0.256221348,0.309340401,0.008624883,0.007842249,0,-0.256221348,0.026559527,0.026559527,-0.000355914,-0.027271355,0.008820542,0.002697085,-0.951623678,1.148911491,0.043931372,0.024562242,0.006859129,-0.951623678,0.098643906,0.098643906,-0.087547817,-0.273739541,0.048773654,0.024020498,0.979492188,0.981445313,0.980761719,0.980957031,0.981445313,0.979492188,110.2,277.6000366,60.79992676,277.6000366,60.79998779,page
-8,0,-2.535745581,-1.448162657,-0.142854962,-8,-0.163259702,1.882352941,0.349401771,0,0,1.882352941,0,8.21847021,2.578354172,1.459317977,0.142854962,8.21847021,-8,0,-2.535745581,-1.448162657,-0.142854962,-8,-0.163262816,1.882352941,0.349401816,0,0,1.882352941,0,8.21847021,2.578354279,1.459318165,0.142854962,8.21847021,-0.941176471,0.527490357,-0.090175228,-0.044771217,-0.012754907,-0.941176471,-0.270588179,-0.270588179,-0.244386999,-0.218185818,-0.102534472,-0.073594035,-0.08888838,0.221453287,0.023393101,0.003722717,0,0.221453287,0.066282453,0.066282453,0.058604335,0.050926217,0.031323771,0.011981473,-0.527552781,0.966878848,0.092927835,0.048343398,0.012754907,0.966878848,0.278560658,0.278560658,0.251270269,0.223979881,0.105769041,0.07584045,-0.941176471,0.527490357,-0.090175228,-0.044771217,-0.012754907,-0.941176471,-0.270588179,-0.270588179,-0.244386999,-0.218185818,-0.102534472,-0.073594035,-0.088888663,0.221453287,0.023393112,0.003722889,0,0.221453287,0.066282312,0.066282312,0.058604359,0.050926406,0.031323824,0.011981177,-0.527552776,0.966878848,0.092927837,0.04834347,0.012754907,0.966878848,0.278560628,0.278560628,0.251270275,0.223979921,0.105769036,0.075840448,0.978515625,0.981445313,0.980761719,0.980957031,0.98046875,0.978515625,104,243.2000122,35.20001221,243.2000122,35.20001221,page
-0.086023472,0.457144601,0.088225854,0,0,0,-0.08601691,0.086020193,0.022024949,0,0.075467668,0,0,0.463451058,0.11964852,0.075467668,0.075467668,0,-0.086023472,0.457144601,0.088225854,0,0,0,-0.086020191,0.086020193,0.02202505,0,0.075470547,0,0,0.463451058,0.119648744,0.075470547,0.075470547,0,-0.050235671,0.043537581,-0.000580542,0,0,-0.008232868,-0.000669755,-0.00746534,-0.00418874,-0.00746534,-0.000267936,0,-0.00924913,0.009249483,-0.000297467,0,0.007119591,-0.008232868,-0.000891945,0,-0.001300314,0,8.91E-05,0,-0.050928688,0.044138196,-0.000535524,0,0.007119591,-0.011643034,-0.000985245,-0.005275071,-0.004437166,-0.005275071,-0.001242204,-0.002118664,-0.050235671,0.043537581,-0.000580542,0,0,-0.008232868,-0.000669755,-0.00746534,-0.00418874,-0.00746534,-0.000267936,0,-0.009249483,0.009249483,-0.000297468,0,0.007119863,-0.008232868,-0.000891945,0,-0.001300287,0,8.91E-05,0,-0.050928688,0.044138196,-0.000535524,0,0.007119863,-0.011643034,-0.000985245,-0.005275071,-0.004437159,-0.005275071,-0.001242214,-0.002118778,0.9765625,0.98046875,0.979962384,0.98046875,0.9765625,0.98046875,275.3999999,28,7.199951172,28,7.199951172,pen
-0.079998779,0.505265085,0.10444478,0,0,0.076924837,-0.087904038,0.084212454,-0.000328286,0,-0.071430208,0,0,0.505265085,0.121371885,0.072731712,0.071430208,0.076924837,-0.079998779,0.505265085,0.10444478,0,0,0.076924837,-0.087910745,0.084209241,-0.000328373,0,-0.071427483,0,0,0.505265085,0.121372036,0.072731712,0.071427483,0.076924837,-0.04857304,0.053185798,-0.000601931,0,0,0.007396619,-0.004250233,-0.007925379,-0.005398119,-0.008606222,-0.000752413,-0.001089996,-0.008094786,0.008864469,-2.42E-05,0,-0.006377697,0,0,0,0,0,0.000270244,0,-0.049242926,0.053185798,-0.000619719,-0.000116449,0.006377697,0.007396619,-0.004250233,-0.007925379,-0.005398119,-0.008606222,-0.001075128,-0.004020914,-0.04857304,0.053185798,-0.000601931,0,0,0.007396619,-0.004250233,-0.007925379,-0.005398119,-0.008606222,-0.000752413,-0.001089996,-0.008095404,0.008864131,-2.42E-05,0,-0.006377454,0,0,0,0,0,0.000270232,0,-0.049243028,0.053185798,-0.000619716,-0.000116449,0.006377454,0.007396619,-0.004250233,-0.007925379,-0.005398119,-0.008606222,-0.00107513,-0.004020914,0.978515625,0.98046875,0.980390625,0.98046875,0.978515625,0.98046875,253.8,28.79998779,2.399993896,28.79998779,2.400024414,pen
0,0.24742205,0.060814191,0,0,0.24742205,0,0.333334608,0.064360629,0.035715104,0.071430208,0.082472968,0,0.372679422,0.098071297,0.073808307,0.071430208,0.260805409,0,0.24742205,0.060814191,0,0,0.24742205,0,0.333334608,0.064360639,0.035713741,0.071427483,0.082472968,0,0.372679422,0.098071307,0.073808398,0.071427483,0.260805409,-0.018752644,0.025507428,0.001014634,0,0,0.025507428,0.001688696,0,0.000367972,0.000606706,0.001304529,0.000303353,-0.030581156,0.025664523,0.000171833,0,0.006377697,0.008502368,-0.000218489,0,-0.001743039,0,-0.000198374,0,-0.034190772,0.026887155,0.000952591,0.003188849,0.006377697,0.026887155,0.001480266,0,-0.000610978,-0.008299095,0.000805458,-7.04E-05,-0.018752644,0.025507428,0.001014634,0,0,0.025507428,0.001688696,0,0.000367972,0.000606706,0.001304529,0.000303353,-0.030581156,0.025664523,0.000171836,0,0.006377454,0.008502368,-0.000218489,0,-0.001743039,0,-0.000198374,0,-0.034190772,0.026887155,0.000952594,0.003188727,0.006377454,0.026887155,0.001480266,0,-0.000610978,-0.008299095,0.000805458,-7.04E-05,0.978515625,0.98046875,0.980143229,0.98046875,0.978515625,0.978515625,181.8999999,11.19998169,11.19998169,11.19998169,11.20001221,pen
-0.296294602,0.554456042,0.045465611,0,0.076189314,0.076189314,-0.269662233,0.370370372,0.027382769,0,0,-0.076195126,0,0.576644767,0.12904882,0.073811122,0.076189314,0.107752071,-0.296294602,0.554456042,0.045465611,0,0.076189314,0.076189314,-0.269665662,0.370370372,0.027382728,0,0,-0.076195126,0,0.576643936,0.129048871,0.073811122,0.076189314,0.107752071,-0.056577147,0.054896637,0.000471548,0,0.007256125,0.007256125,0.000659648,0,0.00181552,0,-0.000308471,0,-0.043416912,0.034293553,-0.000646005,0,0,-0.007256679,-0.000818632,0,-0.002551816,0,-0.000143828,0,-0.058841303,0.05709354,-0.000332838,0,0.007256125,0.010262102,0.000743383,0,-0.002433094,0,-0.001528444,0,-0.056577147,0.054896637,0.000471548,0,0.007256125,0.007256125,0.000659648,0,0.00181552,0,-0.000308471,0,-0.043416912,0.034293553,-0.000646001,0,0,-0.007256679,-0.000818632,0,-0.002551812,0,-0.00014381,0,-0.058841218,0.057093458,-0.000332828,0,0.007256125,0.010262102,0.000743383,0,-0.002433089,0,-0.00152844,0,0.978515625,0.98046875,0.980364118,0.98046875,0.978515625,0.98046875,571.4000001,36,29.60006714,36,29.60003662,pen
-0.595742078,0.733944964,0.045334251,0,0,0,-0.222224484,0.510640241,0.040123632,0,0,0,0,0.737606006,0.144830926,0.032258803,0,0,-0.595742078,0.733944964,0.045334251,0,0,0,-0.222218832,0.510636994,0.040123641,0,0,0,0,0.737606006,0.144830768,0.032258803,0,0,-0.07057163,0.069135878,-7.46E-05,0,0,-0.006722586,-0.002913054,0,0.000502267,0,0.000284081,0,-0.050649455,0.054323429,-9.06E-05,0,0,0,-0.000118272,0,6.83E-05,0,-0.000233173,0,-0.073950572,0.07190231,-0.00039502,0,0,-0.006722586,-0.003194462,0,0.00029849,0,-0.000161744,0,-0.07057163,0.069135878,-7.46E-05,0,0,-0.006722586,-0.002913054,0,0.000502267,0,0.000284081,0,-0.050649455,0.054323084,-9.06E-05,0,0,0,-0.000118277,0,6.83E-05,0,-0.000233174,0,-0.073950572,0.071902517,-0.000395018,0,0,-0.006722586,-0.003194463,0,0.000298486,0,-0.000161739,0,0.979492188,0.98046875,0.980391653,0.98046875,0.979492188,0.98046875,1143.2,52,53.60006714,52,53.60003662,pen
-0.425531911,0.173913706,-0.051476988,0,-0.076189314,0.173913706,-0.152378627,0.595745324,0.064245785,0,-0.152378627,-0.086958512,0,0.73211331,0.130685616,0.073394775,0.170364484,0.194442176,-0.425531911,0.173913706,-0.051476988,0,-0.076189314,0.173913706,-0.15238444,0.595742078,0.06424571,0,-0.15238444,-0.086955194,0,0.732110668,0.130685712,0.073393375,0.170369684,0.194440693,-0.035457199,0.041313778,0.000643588,0,-0.007256125,0.018903664,0.002010485,0,0.005007408,0.000789713,0.000823913,0,-0.057839352,0.04432133,-0.000540657,0,-0.01451225,-0.009452012,-0.002321417,0,-0.006016461,0,-0.000453025,0,-0.071078962,0.056759081,0.000129195,0.002533665,0.016225189,0.021135019,0.001622051,-0.001606819,-0.005333662,0.003329094,-6.59E-05,0,-0.035457199,0.041313778,0.000643588,0,-0.007256125,0.018903664,0.002010485,0,0.005007408,0.000789713,0.000823913,0,-0.057839037,0.04432133,-0.000540648,0,-0.014512804,-0.009451652,-0.002321365,0,-0.006016413,0,-0.00045299,0,-0.071078706,0.056759081,0.000129194,0.002533543,0.016225684,0.021134858,0.001622028,-0.001606819,-0.005333655,0.003329094,-6.60E-05,0,0.096679688,0.98046875,0.953555836,0.979492188,0.096679688,0.979492188,351.9000001,20.79998779,28,20.79998779,28,pen
-0.388349516,0.428570337,0.013153732,0,0,0,-0.086961829,0.621358634,0.087576031,0,0,-0.077668718,0,0.732735899,0.161499983,0.078437716,0,0.077668718,-0.388349516,0.428570337,0.013153732,0,0,0,-0.086961829,0.621361596,0.087576013,0,0,-0.077668718,0,0.732738412,0.161500007,0.078437716,0,0.077668718,-0.046583732,0.043634778,-0.000268644,0,0,0,0.000225301,0,0.001927741,0,-0.000455831,0,-0.069815578,0.058049831,-0.000864148,0,0,-0.007540652,-0.001073145,-0.007691451,-0.004726368,-0.007842249,-0.001314133,-0.000251858,-0.082329878,0.061997235,-0.001167986,0.000226412,0,0.007540652,0.000541887,0.000151601,-0.004268516,-0.007093135,-0.001650487,0.000221992,-0.046583732,0.043634778,-0.000268644,0,0,0,0.000225301,0,0.001927741,0,-0.000455831,0,-0.069815911,0.058050108,-0.000864156,0,0,-0.007540652,-0.001073142,-0.007691451,-0.004726384,-0.007842249,-0.001314149,-0.000251712,-0.08233016,0.061997494,-0.001167985,0.000226412,0,0.007540652,0.000541889,0.000151496,-0.004268531,-0.007093345,-0.001650491,0.000222044,0.978515625,0.98046875,0.980285645,0.98046875,0.978515625,0.979492188,488.2,28,48.79995728,28,48.79998779,pen
