velX_min,velX_max,velX_mean,velX_median,velX_first,velX_last,velY_min,velY_max,velY_mean,velY_median,velY_first,velY_last,vel_min,vel_max,vel_mean,vel_median,vel_first,vel_last,velRX_min,velRX_max,velRX_mean,velRX_median,velRX_first,velRX_last,velRY_min,velRY_max,velRY_mean,velRY_median,velRY_first,velRY_last,velR_min,velR_max,velR_mean,velR_median,velR_first,velR_last,accelerationX_min,accelerationX_max,accelerationX_mean,accelerationX_median,accelerationX_first,accelerationX_last,1/5_accelerationX_mean,1/5_accelerationX_median,2/5_accelerationX_mean,2/5_accelerationX_median,4/5_accelerationX_mean,4/5_accelerationX_median,accelerationY_min,accelerationY_max,accelerationY_mean,accelerationY_median,accelerationY_first,accelerationY_last,1/5_accelerationY_mean,1/5_accelerationY_median,2/5_accelerationY_mean,2/5_accelerationY_median,4/5_accelerationY_mean,4/5_accelerationY_median,acceleration_min,acceleration_max,acceleration_mean,acceleration_median,acceleration_first,acceleration_last,1/5_acceleration_mean,1/5_acceleration_median,2/5_acceleration_mean,2/5_acceleration_median,4/5_acceleration_mean,4/5_acceleration_median,accelerationRX_min,accelerationRX_max,accelerationRX_mean,accelerationRX_median,accelerationRX_first,accelerationRX_last,1/5_accelerationRX_mean,1/5_accelerationRX_median,2/5_accelerationRX_mean,2/5_accelerationRX_median,4/5_accelerationRX_mean,4/5_accelerationRX_median,accelerationRY_min,accelerationRY_max,accelerationRY_mean,accelerationRY_median,accelerationRY_first,accelerationRY_last,1/5_accelerationRY_mean,1/5_accelerationRY_median,2/5_accelerationRY_mean,2/5_accelerationRY_median,4/5_accelerationRY_mean,4/5_accelerationRY_median,accelerationR_min,accelerationR_max,accelerationR_mean,accelerationR_median,accelerationR_first,accelerationR_last,1/5_accelerationR_mean,1/5_accelerationR_median,2/5_accelerationR_mean,2/5_accelerationR_median,4/5_accelerationR_mean,4/5_accelerationR_median,pressure_min,pressure_max,pressure_mean,pressure_median,pressure_first,pressure_last,dragTime,widthX,widthY,widthRX,widthRY,Mode
-5.44000651,0,-1.589140033,-1.559747662,-0.528299585,-1.936844675,-0.705880559,0.926317717,0.023345475,0,-0.377358492,0.926317717,0,5.441052128,1.620806347,1.560559012,0.649230224,2.146958735,-5.44000651,0,-1.589140033,-1.559747662,-0.528299585,-1.936844675,-0.705883551,0.926314505,0.023345365,0,-0.377358492,0.926314505,0,5.441052128,1.620806181,1.560558951,0.649230224,2.146957349,-0.725334201,0.44642857,-0.005600707,-0.026593068,-0.049839584,-0.026593068,-0.050969597,-0.101939193,-0.019625623,0.082516268,0.013731373,0.076679389,-0.045244776,0.069889164,0.005231276,0.007984464,-0.035599858,0.044321668,0.024376782,0.044783222,0.012131613,0.011103235,0.011137328,0.008928435,-0.446517844,0.725473617,0.0067501,0.040904389,0.061248135,0.040904389,0.056498914,0.112997828,0.022373959,-0.075134372,-0.012749183,-0.077349087,-0.725334201,0.44642857,-0.005600707,-0.026593068,-0.049839584,-0.026593068,-0.050969597,-0.101939193,-0.019625623,0.082516268,0.013731373,0.076679389,-0.045244488,0.06988946,0.00523123,0.007984679,-0.035599858,0.04432133,0.024376697,0.044782909,0.012131562,0.011103342,0.01113729,0.008928435,-0.446517844,0.725473617,0.006750093,0.040904243,0.061248135,0.040904243,0.056498878,0.112997755,0.02237394,-0.075134438,-0.012749196,-0.077349109,0.978515625,0.98046875,0.980057566,0.98046875,0.979492188,0.978515625,200.9,304.8000488,21.6000061,304.8000488,21.59997559,page
-4.314609496,0,-1.441626317,-1.167883213,-0.523362205,-1.415381798,-1.032255438,0.553844745,-0.045660227,0,-0.448599843,0.553844745,0,4.318352931,1.478596014,1.279183004,0.689311117,1.519884745,-4.314609496,0,-1.441626317,-1.167883213,-0.523362205,-1.415381798,-1.032262001,0.553847093,-0.045660294,0,-0.44859699,0.553847093,0,4.318353074,1.478596059,1.279183004,0.689309261,1.5198856,-0.484787585,0.343411607,-0.002490109,0.068682447,-0.048912356,-0.108875523,-0.023199348,0.013490858,0.025116049,0.155084084,0.018398519,0.13585724,-0.110995208,0.101201514,0.002457769,0,-0.041925219,0.042603442,0.009004905,0.012818105,0.004775976,-0.000841999,0.009408581,0,-0.343411607,0.485208196,0.002710245,-0.069089884,0.0644216,0.116914211,0.024982756,-0.009928112,-0.024218174,-0.157266647,-0.018965244,-0.136770434,-0.484787585,0.343411607,-0.002490109,0.068682447,-0.048912356,-0.108875523,-0.023199348,0.013490858,0.025116049,0.155084084,0.018398519,0.13585724,-0.110995914,0.101202157,0.002457775,0,-0.041924952,0.042603623,0.00900495,0.012818195,0.004776002,-0.000842333,0.009408634,0,-0.343411607,0.485208212,0.002710248,-0.0690899,0.064421426,0.116914277,0.024982772,-0.009928079,-0.024218166,-0.157266647,-0.018965253,-0.136770434,0.978515625,0.98046875,0.98021176,0.98046875,0.979492188,0.978515625,197,280,20.79992676,280,20.79998779,page
-4.888888889,0,-1.577116508,-0.854370709,-0.307693482,0,-0.491233961,0.97776964,0.147196907,0,-0.307696417,0,0,4.985706373,1.624531672,0.973915273,0.43514637,0,-4.888888889,0,-1.577116508,-0.854370709,-0.307693482,0,-0.491231284,0.977776421,0.147197175,0,-0.307693482,0,0,4.985707703,1.624531627,0.973916035,0.435144296,0,-0.543209877,0.523103752,0.010085289,-0.037560215,-0.029585912,0.091376705,-0.022013077,0.091376705,0.073042653,0.147442792,0.02762934,0.091376705,-0.095859768,0.113378685,0.000193623,-0.001106083,-0.029586194,-0.045688062,0.006823647,-0.045688062,-0.013426611,-0.043896743,0.003866699,0,-0.528956002,0.553967375,-0.009975441,0.043766636,0.041840997,-0.102162132,0.023042102,-0.102162132,-0.074198344,-0.154990559,-0.027947594,-0.102162132,-0.543209877,0.523103752,0.010085289,-0.037560215,-0.029585912,0.091376705,-0.022013077,0.091376705,0.073042653,0.147442792,0.02762934,0.091376705,-0.095860433,0.113378685,0.000193634,-0.001105836,-0.029585912,-0.045688062,0.006823647,-0.045688062,-0.013426717,-0.043896609,0.003866698,0,-0.528955953,0.553967523,-0.009975436,0.043766711,0.041840798,-0.102162132,0.023042102,-0.102162132,-0.074198365,-0.154990532,-0.027947586,-0.102162132,0.979492188,0.98046875,0.980407715,0.98046875,0.979492188,0.98046875,168,266.3999634,41.60006714,266.3999634,41.60003662,page
-0.192771819,0.290907426,0.060950212,0,-0.124998093,0.076921903,-0.615386961,0.452823281,-0.003611562,0,0,-0.307699349,0,0.63432636,0.160625094,0.084989441,0.124998093,0.317168518,-0.192771819,0.290907426,0.060950212,0,-0.124998093,0.076921903,-0.615381092,0.452829039,-0.00361148,0,0,-0.30769348,0,0.634320666,0.160625077,0.084990052,0.124998093,0.317162824,-0.038787657,0.029629554,-5.94E-05,0,-0.009765476,0.007396337,-0.000439208,-0.000180533,-0.000162637,0.006377697,-2.72E-05,0,-0.059171823,0.050283033,-9.80E-05,0,0,-0.029586476,-0.00312013,-0.007833686,-0.001503259,-0.006376967,-8.37E-05,0,-0.062090763,0.060992919,0.000125187,0,0.009765476,0.030496973,0.000596224,0.004674288,0.000333997,0.00901891,0.000198793,0,-0.038787657,0.029629554,-5.94E-05,0,-0.009765476,0.007396337,-0.000439208,-0.000180533,-0.000162637,0.006377697,-2.72E-05,0,-0.059171259,0.050282713,-9.80E-05,0,0,-0.029585911,-0.003120075,-0.007833387,-0.001503234,-0.006377454,-8.37E-05,0,-0.062090763,0.060992372,0.000125185,0,0.009765476,0.030496425,0.000596203,0.004674815,0.000333974,0.009019254,0.000198786,0,0.977539063,0.979492188,0.979424838,0.979492188,0.978515625,0.977539063,581.6,40.79998779,24.80001831,40.79998779,24.79998779,pen
-0.077671681,0.416666668,0.040868693,0,0,0.172043667,-0.527474538,1.165048542,0.093479031,0,0,0.08601363,0,1.167634787,0.19337761,0.074773185,0,0.192346998,-0.077671681,0.416666668,0.040868693,0,0,0.172043667,-0.527471185,1.165048542,0.093479166,0,0,0.086020193,0,1.167634787,0.193377518,0.074771745,0,0.192349933,-0.02958563,0.043402778,0.000663394,0,0,0.018499319,0.002061424,0,0.001395407,0,0.000512691,0,-0.084505037,0.113111509,-0.001122818,0,0,0.009248777,-0.00081221,0.00563471,-0.000533637,0.002817355,-0.003158442,0,-0.084763662,0.113362601,-0.000276523,0,0,0.020682473,0.000461929,0.00523623,0.000434852,-0.002241083,-0.002114555,0,-0.02958563,0.043402778,0.000663394,0,0,0.018499319,0.002061424,0,0.001395407,0,0.000512691,0,-0.084504732,0.113111509,-0.001122807,0,0,0.009249483,-0.000812134,0.005635022,-0.000533618,0.002817511,-0.003158423,0,-0.084763357,0.113362601,-0.000276526,0,0,0.020682789,0.000461962,0.005236526,0.000434885,-0.00224075,-0.002114552,0,0.978515625,0.979492188,0.979447798,0.979492188,0.978515625,0.978515625,451.5,18.3999939,45.59994507,18.3999939,45.59997559,pen
-0.255318499,0.538462127,0.095099618,0,0.226949057,0,-0.470588235,0.688171386,0.031431096,0,0.113473446,0,0,0.769398266,0.234118527,0.239443338,0.253736275,0,-0.255318499,0.538462127,0.095099618,0,0.226949057,0,-0.470588235,0.688174667,0.031431129,0,0.113477775,0,0,0.769401201,0.23411858,0.239442752,0.253738211,0,-0.054950207,0.057964235,-6.81E-06,0,0.016095678,-0.034669688,-0.008460437,-0.014509833,1.68E-05,0.001792832,-0.001486963,0,-0.061042142,0.073996923,-0.000864983,-0.001937426,0.008047762,0.026002101,-0.009776503,-0.009451652,-0.002594222,-0.008481969,-8.11E-05,0.001408205,-0.067098516,0.082730996,-0.002065681,-0.011675544,0.017995481,-0.043337011,-0.015391796,-0.01291263,-0.005210598,-0.011675544,-0.004132306,-0.01291263,-0.054950207,0.057964235,-6.81E-06,0,0.016095678,-0.034669688,-0.008460437,-0.014509833,1.68E-05,0.001792832,-0.001486963,0,-0.061041809,0.073997276,-0.000864985,-0.001937472,0.008048069,0.026002431,-0.009776514,-0.009451652,-0.002594222,-0.008482059,-8.11E-05,0.001408719,-0.067098516,0.082731312,-0.002065672,-0.011675642,0.017995618,-0.043337209,-0.015391847,-0.012912933,-0.005210612,-0.011675642,-0.004132284,-0.012912933,0.977539063,0.978515625,0.97845818,0.978515625,0.978515625,0.977539063,346.5,30.3999939,28.79998779,30.3999939,28.79998779,pen
0,0.313726687,0.062241612,0,0,0.152381534,-0.581823176,0.967038337,0.089073,0,0,0.228570847,0,0.967038337,0.229208471,0.181741329,0,0.274708507,0,0.313726687,0.062241612,0,0,0.152381534,-0.581820401,0.967038337,0.089072997,0,0,0.228573754,0,0.967038337,0.229208421,0.181741583,0,0.274710926,-0.062451447,0.030757518,-0.002206031,0,0,0.014512527,-0.001405387,0.002502261,-0.003269079,-0.002995356,-0.002773759,0,-0.095337768,0.281029724,0.006811254,0,0,0.021768652,-0.005153727,0.00689086,-0.000334983,0.006611974,0.008341891,0.003305987,-0.287885201,0.106267949,-0.008517544,-0.004265068,0,0.026162715,-0.005240408,0.007952955,-0.007067476,-0.008530137,-0.011072058,-0.009096097,-0.062451447,0.030757518,-0.002206031,0,0,0.014512527,-0.001405387,0.002502261,-0.003269079,-0.002995356,-0.002773759,0,-0.095336859,0.281030915,0.006811301,0,0,0.021768929,-0.00515363,0.006890736,-0.000334942,0.006611974,0.008341955,0.003305987,-0.287886364,0.106267949,-0.00851756,-0.004265314,0,0.026162945,-0.00524032,0.007952802,-0.007067419,-0.008530629,-0.011072073,-0.009096159,0.978515625,0.979492188,0.979337993,0.979492188,0.978515625,0.978515625,397.5,28,32.80001831,28,32.79998779,pen
-0.872727828,0,-0.314507736,-0.07079538,-0.07079538,0,0,0,0,0,0,0,0,0.872727828,0.314507736,0.07079538,0.07079538,0,-0.872727828,0,-0.314507736,-0.07079538,-0.07079538,0,0,0,0,0,0,0,0,0.872727828,0.314507736,0.07079538,0.07079538,0,-0.07290295,0.099173617,0.00666853,-0.006265078,-0.006265078,0.099173617,0.099173617,0.099173617,0.099173617,0.099173617,0.013135334,0.013135334,0,0,0,0,0,0,0,0,0,0,0,0,-0.099173617,0.07290295,-0.00666853,0.006265078,0.006265078,-0.099173617,-0.099173617,-0.099173617,-0.099173617,-0.099173617,-0.013135334,-0.013135334,-0.07290295,0.099173617,0.00666853,-0.006265078,-0.006265078,0.099173617,0.099173617,0.099173617,0.099173617,0.099173617,0.013135334,0.013135334,0,0,0,0,0,0,0,0,0,0,0,0,-0.099173617,0.07290295,-0.00666853,0.006265078,0.006265078,-0.099173617,-0.099173617,-0.099173617,-0.099173617,-0.099173617,-0.013135334,-0.013135334,0.505859375,0.9765625,0.819661458,0.9765625,0.505859375,0.9765625,38.59999996,18.40002441,3.200073242,18.40002441,3.200012207,pen
-0.396039603,0.404040405,0.002416034,0,-0.071427482,0,-0.646460945,0.82051856,0.046437117,0,-0.142857688,0,0,0.83183652,0.189987712,0.083772258,0.159719141,0,-0.396039603,0.404040405,0.002416034,0,-0.071427482,0,-0.646460945,0.820515951,0.046437173,0,-0.142854963,0,0,0.831833947,0.189987707,0.083770652,0.159716704,0,-0.039211842,0.040812162,-0.000290213,0,-0.006377454,0.019873383,-0.002739182,0,-5.18E-05,0.000320996,-0.00040646,0,-0.096703833,0.070129791,-0.000848735,0,-0.012755151,-0.00993726,-0.002401414,-0.00993726,0.000800555,0.005806712,-0.001110131,0,-0.098289182,0.071097139,-0.001295173,-0.000579935,0.014260638,-0.022219372,-0.003398676,-0.022219372,-0.001282624,-0.017065749,-0.00156748,0,-0.039211842,0.040812162,-0.000290213,0,-0.006377454,0.019873383,-0.002739182,0,-5.18E-05,0.000320996,-0.00040646,0,-0.096703833,0.070129569,-0.000848732,0,-0.012754907,-0.00993726,-0.002401438,-0.00993726,0.000800551,0.005806712,-0.00111013,0,-0.098289182,0.071096919,-0.001295172,-0.000579588,0.01426042,-0.022219372,-0.003398693,-0.022219372,-0.001282624,-0.017065798,-0.001567477,0,0.9765625,0.979492188,0.978713989,0.978515625,0.9765625,0.979492188,652,20,46.40002441,20,46.40002441,pen
-0.233009117,0.549020204,0.029965283,0,0,0.396039605,-0.239993286,0.757896022,0.063526492,0,0.073393376,-0.079206712,0,0.776384085,0.179669478,0.141975819,0.073393376,0.403882498,-0.233009117,0.549020204,0.029965283,0,0,0.396039605,-0.239996338,0.757896022,0.06352648,0,0.073393376,-0.079206712,0,0.776384085,0.179669511,0.141975819,0.073393376,0.403882498,-0.032362274,0.05382551,0.00087448,0,0,-0.015146594,0.006419479,0.006155764,0.002490775,-0.003662405,0.000482417,-0.00466184,-0.075789602,0.079778529,-2.89E-05,0,0.006733337,-0.038903705,-0.011513068,-0.008751865,-0.000741503,0.003659577,2.69E-05,0,-0.077638408,0.081724641,0.000242829,0.006733337,0.006733337,-0.022618771,-0.005924435,-0.00288044,0.001747399,0.008786771,-0.000266318,0.00466184,-0.032362274,0.05382551,0.00087448,0,0,-0.015146594,0.006419479,0.006155764,0.002490775,-0.003662405,0.000482417,-0.00466184,-0.075789602,0.079778529,-2.89E-05,0,0.006733337,-0.038903705,-0.011513068,-0.008751865,-0.000741506,0.003659431,2.69E-05,0,-0.077638408,0.081724641,0.00024283,0.006733337,0.006733337,-0.022618771,-0.005924435,-0.00288044,0.001747398,0.00878665,-0.000266318,0.00466184,0.977539063,0.978515625,0.978467988,0.978515625,0.977539063,0.977539063,419.1,15.20001221,32.79998779,15.20001221,32.79998779,pen
